@relation pacman.pract1

@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute num_fantasmas numeric
@attribute fantasma1_x numeric
@attribute fantasma1_y numeric
@attribute fantasma2_x numeric
@attribute fantasma2_y numeric
@attribute fantasma3_x numeric
@attribute fantasma3_y numeric
@attribute fantasma4_x numeric
@attribute fantasma4_y numeric
@attribute fantasma1_vivo {True,False}
@attribute fantasma2_vivo {True,False}
@attribute fantasma3_vivo {True,False}
@attribute fantasma4_vivo {True,False}
@attribute fantasma_cercano_x numeric
@attribute fantasma_cercano_y numeric
@attribute muro_x {True,False}
@attribute muro_y {True,False}
@attribute dif_puntuacion numeric
@attribute direccion_pacman {West, Stop, East, North, South}

@data
14, 5, 4, 1, 1, 3, 1, 17, 7, 7, 1, False, False, True, False, 3, 2, False, False, -1, East
15, 5, 4, 1, 1, 3, 1, 18, 7, 7, 1, False, False, True, False, 3, 2, False, False, -1, East
16, 5, 4, 1, 1, 3, 1, 18, 8, 7, 1, False, False, True, False, 2, 3, False, False, -1, East
16, 6, 4, 1, 1, 3, 1, 18, 9, 7, 1, False, False, True, False, 2, 3, False, False, -1, North
16, 7, 4, 1, 1, 3, 1, 17, 9, 7, 1, False, False, True, False, 1, 2, False, False, -1, North
16, 8, 4, 1, 1, 3, 1, 17, 10, 7, 1, False, False, True, False, 1, 2, False, False, -1, North
17, 8, 4, 1, 1, 3, 1, 16, 10, 7, 1, False, False, True, False, -1, 2, False, False, -1, East
18, 8, 4, 1, 1, 3, 1, 15, 10, 7, 1, False, False, True, False, -3, 2, False, False, -1, East
17, 8, 4, 1, 1, 3, 1, 16, 10, 7, 1, False, False, True, False, -1, 2, False, False, -1, West
18, 8, 4, 1, 1, 3, 1, 15, 10, 7, 1, False, False, True, False, -3, 2, False, False, -1, East
17, 8, 4, 1, 1, 3, 1, 16, 10, 7, 1, False, False, True, False, -1, 2, False, False, -1, West
16, 8, 4, 1, 1, 3, 1, 16, 10, 7, 1, False, False, True, False, 0, 2, False, False, -1, West
15, 8, 4, 1, 1, 3, 1, 15, 10, 7, 1, False, False, True, False, 0, 2, False, False, -1, West
15, 9, 4, 1, 1, 3, 1, 14, 10, 7, 1, False, False, True, False, -1, 1, False, False, -1, North
15, 10, 4, 1, 1, 3, 1, 13, 10, 7, 1, False, False, True, False, -2, 0, False, False, -1, North
15, 11, 4, 1, 1, 3, 1, 13, 10, 7, 1, False, False, True, False, -2, -1, False, False, -1, North
15, 12, 4, 1, 1, 3, 1, 13, 10, 7, 1, False, False, True, False, -2, -2, False, False, -1, North
14, 12, 4, 1, 1, 3, 1, 14, 10, 7, 1, False, False, True, False, 0, -2, False, False, -1, West
13, 12, 4, 1, 1, 3, 1, 13, 10, 7, 1, False, False, True, False, 0, -2, False, False, -1, West
12, 12, 4, 1, 1, 3, 1, 13, 10, 7, 1, False, False, True, False, 1, -2, False, False, -1, West
11, 12, 4, 1, 1, 3, 1, 14, 10, 7, 1, False, False, True, False, 3, -2, False, False, -1, West
11, 11, 4, 1, 1, 3, 1, 15, 10, 7, 1, False, False, True, False, 4, -1, False, False, -1, South
11, 10, 4, 1, 1, 3, 1, 15, 9, 7, 1, False, False, True, False, 4, -1, False, False, -1, South
11, 9, 4, 1, 1, 3, 1, 14, 9, 7, 1, False, False, True, False, 3, 0, False, False, -1, South
11, 8, 4, 1, 1, 3, 1, 14, 10, 7, 1, False, False, True, False, 3, 2, False, False, -1, South
12, 8, 4, 1, 1, 3, 1, 14, 11, 7, 1, False, False, True, False, 2, 3, False, False, -1, East
13, 8, 4, 1, 1, 3, 1, 14, 10, 7, 1, False, False, True, False, 1, 2, False, False, -1, East
14, 8, 4, 1, 1, 3, 1, 14, 9, 7, 1, False, False, True, False, 0, 1, False, False, -1, East
9, 1, 4, 8, 7, 9, 7, 10, 7, 11, 7, True, True, True, True, 0, 6, False, True, 0, Stop
9, 1, 4, 7, 7, 10, 7, 10, 8, 11, 7, True, True, True, True, 1, 6, False, True, -1, Stop
9, 1, 4, 8, 7, 10, 8, 9, 8, 11, 7, True, True, True, True, -1, 6, False, True, -1, Stop
9, 1, 4, 9, 7, 9, 8, 9, 9, 10, 7, True, True, True, True, 0, 6, False, True, -1, Stop
9, 1, 4, 9, 8, 10, 8, 9, 8, 11, 7, True, True, True, True, 0, 7, False, True, -1, Stop
9, 1, 4, 9, 8, 9, 8, 9, 9, 11, 7, True, True, True, True, 0, 7, False, True, -1, Stop
9, 1, 4, 10, 8, 10, 8, 10, 9, 11, 7, True, True, True, True, 2, 6, False, True, -1, Stop
9, 1, 4, 10, 8, 9, 8, 10, 10, 10, 7, True, True, True, True, 0, 7, False, True, -1, Stop
8, 1, 4, 9, 8, 9, 8, 9, 10, 10, 7, True, True, True, True, 1, 7, False, True, 99, West
7, 1, 4, 9, 8, 9, 8, 9, 11, 10, 8, True, True, True, True, 2, 7, False, True, 99, West
6, 1, 4, 9, 9, 9, 7, 9, 10, 10, 7, True, True, True, True, 3, 6, False, False, 99, West
6, 1, 4, 9, 8, 8, 7, 10, 10, 10, 7, True, True, True, True, 2, 6, False, False, -1, West
6, 2, 4, 9, 9, 7, 7, 10, 9, 10, 7, True, True, True, True, 1, 5, False, False, 99, North
6, 3, 4, 9, 10, 6, 7, 10, 8, 9, 7, True, True, True, True, 0, 4, False, False, 99, North
6, 4, 4, 10, 10, 6, 6, 10, 9, 8, 7, True, True, True, True, 0, 2, False, False, 99, North
6, 5, 4, 9, 10, 3, 1, 10, 10, 7, 7, True, False, True, True, 1, 2, False, False, 299, North
6, 6, 4, 9, 10, 4, 1, 10, 10, 8, 7, True, False, True, True, 2, 1, True, False, 99, North
6, 7, 4, 10, 10, 3, 1, 10, 10, 9, 7, True, False, True, True, 3, 0, False, False, 99, North
7, 7, 4, 10, 11, 2, 1, 10, 9, 9, 7, True, False, True, True, 2, 0, False, False, -1, East
8, 7, 4, 9, 11, 1, 1, 10, 10, 10, 7, True, False, True, True, 2, 0, False, False, -1, East
9, 7, 4, 9, 11, 1, 1, 10, 10, 7, 1, True, False, True, False, 0, 4, False, False, 199, East
10, 7, 4, 10, 11, 1, 1, 9, 10, 7, 1, True, False, True, False, 0, 4, False, False, -1, East
10, 8, 4, 10, 10, 2, 1, 9, 10, 8, 1, True, False, True, False, 0, 2, False, False, -1, North
10, 9, 4, 10, 11, 2, 1, 9, 9, 8, 1, True, False, True, False, -1, 0, False, False, 99, North
10, 10, 4, 11, 11, 3, 1, 9, 8, 7, 1, True, False, True, False, 1, 1, False, False, 99, North
10, 11, 4, 12, 11, 2, 1, 9, 9, 7, 1, True, False, True, False, 2, 0, False, False, 99, North
9, 11, 4, 13, 11, 1, 1, 9, 9, 8, 1, True, False, True, False, 0, -2, False, False, 99, West
8, 11, 4, 13, 11, 2, 1, 9, 9, 8, 1, True, False, True, False, 1, -2, False, True, 99, West
7, 11, 4, 12, 11, 2, 1, 10, 9, 7, 1, True, False, True, False, 5, 0, False, False, 99, West
6, 11, 4, 11, 11, 1, 1, 10, 8, 6, 1, True, False, True, False, 5, 0, False, False, 99, West
6, 10, 4, 10, 11, 1, 2, 9, 8, 6, 2, True, False, True, False, 4, 1, True, False, 99, South
6, 9, 4, 10, 10, 1, 3, 10, 8, 6, 2, True, False, True, False, 4, 1, True, False, 99, South
7, 9, 4, 9, 10, 1, 3, 9, 8, 6, 1, True, False, True, False, 2, 1, True, False, 99, East
7, 9, 4, 9, 9, 1, 4, 10, 8, 6, 1, True, False, True, False, 2, 0, True, False, -1, East
7, 9, 4, 9, 8, 1, 4, 9, 8, 7, 1, True, False, True, False, 2, -1, True, False, -1, East
7, 9, 4, 9, 8, 1, 4, 10, 8, 7, 1, True, False, True, False, 2, -1, True, False, -1, East
7, 9, 4, 9, 9, 1, 3, 9, 8, 8, 1, True, False, True, False, 2, 0, True, False, -1, East
6, 9, 4, 9, 9, 1, 4, 10, 8, 7, 1, True, False, True, False, 3, 0, True, False, -1, West
5, 9, 4, 9, 10, 1, 5, 9, 8, 8, 1, True, False, True, False, 4, 1, True, False, 99, West
4, 9, 4, 9, 11, 1, 5, 9, 8, 7, 1, True, False, True, False, 5, -1, True, False, 99, West
4, 10, 4, 9, 11, 1, 5, 10, 8, 6, 1, True, False, True, False, 5, 1, True, False, 99, North
4, 11, 4, 9, 11, 1, 4, 10, 8, 6, 1, True, False, True, False, 5, 0, True, False, 99, North
4, 11, 4, 9, 11, 1, 5, 10, 7, 6, 1, True, False, True, False, 5, 0, True, False, -1, North
4, 11, 4, 10, 11, 1, 4, 10, 7, 6, 2, True, False, True, False, 6, 0, True, False, -1, North
4, 11, 4, 10, 10, 1, 4, 10, 7, 6, 3, True, False, True, False, 6, -1, True, False, -1, North
