@relation pacman.pract1

@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute num_fantasmas numeric
@attribute fantasma1_x numeric
@attribute fantasma1_y numeric
@attribute fantasma2_x numeric
@attribute fantasma2_y numeric
@attribute fantasma3_x numeric
@attribute fantasma3_y numeric
@attribute fantasma4_x numeric
@attribute fantasma4_y numeric
@attribute fantasma1_vivo {True,False}
@attribute fantasma2_vivo {True,False}
@attribute fantasma3_vivo {True,False}
@attribute fantasma4_vivo {True,False}
@attribute fantasma_cercano_x numeric
@attribute fantasma_cercano_y numeric
@attribute dif_puntuacion numeric
@attribute direccion_pacman {West, Stop, East, North, South}

@data
14, 6, 4, 6, 12, 7, 7, 5, 1, 14, 3, True, True, False, True, 0, -3, -1, South
14, 5, 4, 7, 12, 7, 7, 5, 1, 13, 3, True, True, False, True, -1, -2, -1, South
13, 5, 4, 7, 11, 6, 7, 5, 1, 14, 3, True, True, False, True, 1, -2, -1, West
14, 5, 4, 7, 11, 6, 7, 5, 1, 14, 4, True, True, False, True, 0, -1, -1, East
14, 4, 4, 7, 12, 5, 7, 5, 1, 13, 4, True, True, False, True, -1, 0, -1, South
13, 4, 4, 7, 12, 6, 7, 5, 1, 13, 5, True, True, False, True, 0, 1, -1, West
13, 5, 4, 7, 11, 5, 7, 5, 1, 7, 1, True, True, False, False, -8, 2, 199, North
12, 5, 4, 6, 11, 5, 8, 5, 1, 7, 1, True, True, False, False, -7, 3, -1, West
11, 5, 4, 6, 12, 5, 8, 5, 1, 7, 1, True, True, False, False, -6, 3, -1, West
10, 5, 4, 6, 11, 6, 8, 5, 1, 7, 1, True, True, False, False, -4, 3, -1, West
9, 5, 4, 6, 11, 6, 8, 5, 1, 7, 1, True, True, False, False, -3, 3, -1, West
9, 6, 4, 7, 11, 7, 8, 5, 1, 7, 1, True, True, False, False, -2, 2, -1, North
9, 5, 4, 7, 10, 7, 8, 5, 1, 7, 1, True, True, False, False, -2, 3, -1, South
9, 6, 4, 6, 10, 7, 9, 5, 1, 7, 1, True, True, False, False, -2, 3, -1, North
